Name	m/z	RT
Cluster_0001	282.9051128	6.444575825
Cluster_0002	743.4232391	12.21195571
Cluster_0003	415.7541847	11.61907999
Cluster_0004	420.7461993	10.141178
Cluster_0005	421.7542668	10.95511526
Cluster_0006	422.7618985	12.00568392
Cluster_0007	429.769767	12.8777332
Cluster_0008	785.0692664	14.20706166
Cluster_0009	785.0525644	14.3660516
Cluster_0010	785.3953159	13.07656241
Cluster_0011	792.0300111	17.62095393
Cluster_0012	793.037261	18.00116043
Cluster_0013	793.3862507	11.61590742
Cluster_0014	823.5282053	10.95960945
Cluster_0015	823.5282053	10.95960945
Cluster_0016	879.5043204	9.681155948
Cluster_0017	120.0776581	1.146494353
Cluster_0018	132.1026766	1.138916657
Cluster_0019	137.0465315	1.11535114
Cluster_0020	139.0434137	17.69963211
Cluster_0021	139.0434523	18.34202208
Cluster_0022	139.0437079	22.50883693
Cluster_0023	139.0432768	23.05084855
Cluster_0024	139.0439826	23.87341562
Cluster_0025	139.0411676	24.64924315
Cluster_0026	152.056949	1.09982456
Cluster_0027	159.0667203	1.273307193
Cluster_0028	163.133908	1.347551017
Cluster_0029	166.0847002	1.135824717
Cluster_0030	173.0820214	13.37238039
Cluster_0031	173.0824324	14.46592147
Cluster_0032	173.0821329	15.44674082
Cluster_0033	173.0822608	15.83549071
Cluster_0034	173.0822332	16.18846055
Cluster_0035	183.0926859	1.284065157
Cluster_0036	188.071277	1.141240879
Cluster_0037	194.1182379	1.206057981
Cluster_0038	198.0882809	1.074452289
Cluster_0039	205.1446413	1.490419317
Cluster_0040	214.0883859	0.506628576
Cluster_0041	214.0891678	0.699255596
Cluster_0042	214.0884488	0.95037862
Cluster_0043	214.0909611	7.968349274
Cluster_0044	214.0879244	8.59966309
Cluster_0045	214.0882228	9.303579163
Cluster_0046	214.0888145	16.60661746
Cluster_0047	214.0887518	17.57305293
Cluster_0048	214.0897575	18.41599812
Cluster_0049	214.0940117	19.20351447
Cluster_0050	215.1387177	2.354946496
Cluster_0051	214.9917459	4.01214211
Cluster_0052	215.0444745	5.16216128
Cluster_0053	215.027946	5.845634388
Cluster_0054	215.0534165	6.740455682
Cluster_0055	215.0347608	7.767948758
Cluster_0056	215.0919891	10.55840065
Cluster_0057	215.0875609	19.01722695
Cluster_0058	215.0865683	22.19632405
Cluster_0059	215.0948455	23.2992383
Cluster_0060	215.09166	23.85666606
Cluster_0061	215.0894943	24.58427764
Cluster_0062	215.0874834	1.82755997
Cluster_0063	222.1707519	1.477642421
Cluster_0064	223.2058661	3.100923206
Cluster_0065	223.0633848	4.424255061
Cluster_0066	230.2118346	1.876365519
Cluster_0067	236.1142915	1.272576809
Cluster_0068	244.1909618	6.019738665
Cluster_0559	610.615891	17.02773194
Cluster_0070	245.1186825	8.297135173
Cluster_0071	245.1185906	8.713481911
Cluster_0072	245.1213749	24.50381038
Cluster_0073	245.1204267	24.84053577
Cluster_0074	246.1223404	24.70388323
Cluster_0075	256.2283335	2.208397878
Cluster_0552	608.6003771	16.71305073
Cluster_0077	263.2376647	4.510313705
Cluster_0078	266.2097905	2.259074958
Cluster_0079	267.1237408	1.466749399
Cluster_0546	606.5841187	16.29309763
Cluster_0406	538.5187758	14.01666191
Cluster_0082	278.2095813	2.203724712
Cluster_0083	280.2253327	2.625376501
Cluster_0084	282.2380707	2.336750458
Cluster_0085	284.1009688	1.116364088
Cluster_0394	534.4879942	13.4909339
Cluster_0087	285.228443	3.353430731
Cluster_0479	578.5504665	15.35931843
Cluster_0089	288.2905528	2.34073281
Cluster_0090	291.2299058	6.901441059
Cluster_0091	292.2256773	2.524281067
Cluster_0092	292.2275042	2.043315504
Cluster_0093	294.2423906	2.260943965
Cluster_0094	294.2436851	2.503390025
Cluster_0095	294.240615	3.315601834
Cluster_0096	296.2596961	2.81004395
Cluster_0097	296.258781	4.78316889
Cluster_0098	296.2588114	4.946232278
Cluster_0518	596.5984843	16.62815945
Cluster_0511	594.5834286	16.28594677
Cluster_0101	299.2585053	15.20197383
Cluster_0505	592.5678083	15.84077159
Cluster_0103	303.2323209	4.527031409
Cluster_0104	303.2304934	6.057355636
Cluster_0105	305.2463585	7.570886711
Cluster_0106	306.2417498	3.10747887
Cluster_0107	307.261215	9.473595538
Cluster_0108	308.256119	2.711897519
Cluster_0109	308.2563973	3.848400897
Cluster_0500	590.5885662	16.71230783
Cluster_0599	624.6297365	17.41321329
Cluster_0112	310.310982	7.553179334
Cluster_0585	620.5934905	16.73810384
Cluster_0114	314.2734571	2.59933432
Cluster_0115	316.2252814	2.502851589
Cluster_0116	318.241235	2.80813683
Cluster_0117	318.2434372	2.365111882
Cluster_0118	319.2612165	8.964358206
Cluster_0655	638.6479279	17.7831805
Cluster_0656	638.6478094	18.36688507
Cluster_0635	634.61393	17.1138571
Cluster_0719	652.6629636	18.78161876
Cluster_0710	650.6455919	17.82886474
Cluster_0124	322.2478195	3.093736424
Cluster_0711	650.6464073	18.12819164
Cluster_0712	650.6441467	18.35291855
Cluster_0704	648.6295954	17.49114112
Cluster_0128	325.2745975	14.08744465
Cluster_0129	325.2747379	15.15084701
Cluster_0130	325.2750962	15.60431256
Cluster_0131	325.2748805	15.86383749
Cluster_0132	325.2744292	3.111254124
Cluster_0133	325.2151586	4.531257768
Cluster_0134	327.2898665	14.92162846
Cluster_0135	327.2880635	15.71738957
Cluster_0136	327.2312548	5.345396828
Cluster_0137	329.2455689	6.623030422
Cluster_0138	334.2722699	4.579645742
Cluster_0139	335.368204	11.07676175
Cluster_0140	337.2744994	2.73332485
Cluster_0141	337.2741257	4.509888238
Cluster_0142	337.2741113	13.5044853
Cluster_0143	337.2733314	14.6516316
Cluster_0144	337.2748361	15.08983703
Cluster_0145	337.2744199	15.36427418
Cluster_0146	337.3834813	16.28661743
Cluster_0147	337.2740147	17.01651804
Cluster_0148	338.3442866	9.490810687
Cluster_0149	339.2901302	17.61157435
Cluster_0150	339.2904622	15.86301777
Cluster_0151	339.290412	16.10297238
Cluster_0152	339.289752	3.599409006
Cluster_0153	339.2902636	14.40094681
Cluster_0154	341.3051125	15.44092857
Cluster_0155	342.2412279	2.582860585
Cluster_0156	343.2846636	5.164790995
Cluster_0157	343.2658192	5.409761461
Cluster_0158	344.254863	1.146618752
Cluster_0159	344.2572272	3.301985314
Cluster_0160	345.3373959	9.297772682
Cluster_0782	666.6791018	19.00812528
Cluster_0763	662.6467953	17.90132571
Cluster_0163	351.3994265	16.95939631
Cluster_0164	353.3056099	16.07277373
Cluster_0165	353.3053263	16.50735237
Cluster_0166	353.3053859	16.72955433
Cluster_0167	353.3058327	15.14947737
Cluster_0168	353.3784121	9.00037708
Cluster_0851	680.6936557	19.3549984
Cluster_0838	678.6777634	18.78136798
Cluster_0826	676.6643729	18.19522164
Cluster_0172	358.270216	1.172385229
Cluster_0173	359.258332	16.14076021
Cluster_0174	359.2584147	2.13839596
Cluster_0175	359.2587192	12.35560928
Cluster_0176	359.2584922	14.39883656
Cluster_0177	360.2612596	15.14519486
Cluster_0178	360.3249601	9.490754928
Cluster_0179	361.2734022	3.966247099
Cluster_0180	361.3841814	10.38277092
Cluster_0181	365.2671049	5.165328718
Cluster_0182	365.2670758	5.426274473
Cluster_0183	365.3035041	9.115818117
Cluster_0184	365.3785433	9.629538877
Cluster_0185	365.4152797	17.28134719
Cluster_0186	367.3364138	11.91195582
Cluster_0187	367.3196858	9.298469613
Cluster_0188	367.3938962	9.799706338
Cluster_0189	368.2569133	3.036658497
Cluster_0190	370.404682	14.5966548
Cluster_0191	371.3161785	7.397338371
Cluster_0192	371.3896825	9.001165119
Cluster_0812	674.6468186	17.67977657
Cluster_0194	375.2507049	3.632612643
Cluster_0923	692.6954613	19.16220712
Cluster_0912	690.6762082	18.5248883
Cluster_0963	702.6769537	18.30361595
Cluster_1060	720.7235466	19.68410184
Cluster_1049	718.7054434	19.07179407
Cluster_0605	626.6116051	17.75450517
Cluster_0201	379.3189892	8.779653326
