id	name	formula	inchikey	exactmass
M_3aib__D_m	(R)-3-amino-2-methylpropanoate	C4H9NO2	QCHPKSFMDHPSNR-GSVOUGTGSA-N	103.0633285
M_3hbcoa_R_c	(R)-3-hydroxybutanoyl-CoA(4-)	C25H42N7O18P3S	QHHKKMYHDBRONY-WZZMXTMRSA-N	853.1519897
M_5dpmev_c	(R)-5-diphosphonatomevalonate(4-)	C6H14O10P2	SIGQQUBJQXSAMW-ZCFIWIBFSA-N	308.0062206
M_5pmev_c	(R)-5-phosphonatomevalonate(3-)	C6H13O7P	OKZYCXHTTZZYSK-ZCFIWIBFSA-N	228.0398898
M_lipoate_c	(R)-lipoate	C8H14O2S2	AGBQKNBQESQNJD-SSDOTTSWSA-N	206.043522
M_mmcoa_R_m	(R)-methylmalonyl-CoA(5-)	C25H40N7O19P3S	MZFOKIKEPGUZEN-AGCMQPJKSA-N	867.1312543
M_mev_R_c	(R)-mevalonate	C6H12O4	KJTLQQUUPVSXIM-ZCFIWIBFSA-N	148.0735589
M_pnto_R_e	(R)-pantothenate	C9H17NO5	GHOKWGTUZJEAQD-ZETCQYMHSA-N	219.1106727
M_lgt_S_m	(R)-S-lactoylglutathionate(1?)	C13H21N3O8S	VDYDCVUWILIYQF-CSMHCCOUSA-N	379.1049358
M_Ssq23epx_c	(S)-2,3-epoxysqualene	C30H50O	QYIMSPSDBYKPPY-RSKUXYSASA-N	426.3861662
M_25aics_c	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H19N4O12P	NAQGHJTUZRHGAC-ZZZDFHIKSA-N	454.0737091
M_2hglut_c	(S)-2-hydroxyglutarate(2?)	C5H8O5	HWXBTNAVRSUOJR-VKHMYHEASA-N	148.0371734
M_3hmbcoa_m	(S)-3-Hydroxy-2-methylbutyryl-CoA(4-)	C26H44N7O18P3S	PEKYNTFSOBAABV-LQUDNSJZSA-N	867.1676398
M_S3hb_c	(S)-3-Hydroxybutanoate	C4H8O3	WHBMMWSBFZVSSR-VKHMYHEASA-N	104.0473441
M_3hbcoa_c	(S)-3-Hydroxybutanoyl-CoA(4-)	C25H42N7O18P3S	QHHKKMYHDBRONY-VKBDFPRVSA-N	853.1519897
M_3hdcoa_c	(S)-3-Hydroxydecanoyl-CoA(4-)	C31H54N7O18P3S	HIVSMYZAMUNFKZ-PNPVFPMQSA-N	937.2458901
M_3hddcoa_c	(S)-3-hydroxydodecanoyl-CoA(4-)	C33H58N7O18P3S	IJFLXRCJWPKGKJ-LXIXEQKWSA-N	965.2771902
M_hoxhccoa_c	(S)-3-hydroxyhexacosanoyl-CoA(4-)	C47H86N7O18P3S	GBMJOTOUUWGTIA-FUMULLQGSA-N	1161.496291
M_3hhdcoa_c	(S)-3-Hydroxyhexadecanoyl-CoA(4-)	C37H66N7O18P3S	DEHLMTDDPWDRDR-BCIKBWLNSA-N	1021.33979
M_3hhcoa_c	(S)-3-Hydroxyhexanoyl-CoA(4-)	C27H46N7O18P3S	VAAHKRMGOFIORX-IKTBLOROSA-N	881.1832898
M_3hibutcoa_c	(S)-3-Hydroxyisobutyryl-CoA(4-)	C25H42N7O18P3S	WWEOGFZEFHPUAM-UQCJFRAESA-N	853.1519897
M_3hodcoa_c	(S)-3-Hydroxyoctadecanoyl-CoA(4-)	C39H70N7O18P3S	WZMAIEGYXCOYSH-SFKGBVSGSA-N	1049.371091
M_3hocoa_c	(S)-3-hydroxyoctanoyl-CoA(4-)	C29H50N7O18P3S	ATVGTMKWKDUCMS-OTOYJEMWSA-N	909.21459
M_3htdcoa_c	(S)-3-hydroxytetradecanoyl-CoA(4-)	C35H62N7O18P3S	OXBHKMHNDGRDCZ-STLSENOWSA-N	993.3084904
M_3mop_c	(S)-3-Methyl-2-oxopentanoate	C6H10O3	JVQYSWDUAOAHFM-BYPYZUCNSA-N	130.0629942
M_dhor_S_c	(S)-dihydroorotate	C5H6N2O4	UFIVEPVSAGBUSI-REOHCLBHSA-N	158.0327567
M_mal_L_m	(S)-malate	C4H6O5	BJEPYKJPYRNKOW-REOHCLBHSA-N	134.0215233
M_mmcoa_S_c	(S)-methylmalonyl-CoA(5-)	C25H40N7O19P3S	MZFOKIKEPGUZEN-IBNUZSNCSA-N	867.1312543
M_dhmtp_c	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one	C6H10O3S	CILXJJLQPTUUSS-XQRVVYSFSA-N	162.0350654
M_6bppoldm_n	1,5-bisdiphosphoinositol-1D-myo-inositol(2,3,4,6)tetrakisphosphate(13-)	C6H20O30P8	HHQOOERQSFJGEP-SLWYWOEDSA-N	819.7940352
M_10fthf_c	10-Formyltetrahydrofolate	C20H23N7O7	AUFGTPPARQZWDO-YPMHNXCESA-N	473.1658961
M_oxdca_c	10-oxodecanoate	C10H18O3	FYURGFQVSMALOD-UHFFFAOYSA-N	186.1255944
M_dhet_c	11,12-DHET	C20H34O4	LRPPQRCHCPFBPE-KROJNAHFSA-N	338.2457096
M_eet_c	11,12-EET	C20H32O3	DXOYQVHGIODESM-KROJNAHFSA-N	320.2351449
M_retpalm_cis_11_c	11-cis-Retinylpalmitate	C36H60O2	VYGQUTWHTHXGQB-SXFSSFKVSA-N	524.4593312
