Row	m/z	RT
Cluster_0001	97.08655593	6.846477798
Cluster_0002	97.07121317	6.392459283
Cluster_0003	101.0927341	1.416033373
Cluster_0004	107.0709945	1.429227605
Cluster_0005	109.101111	6.755576208
Cluster_0006	111.1165954	1.9937914
Cluster_0007	113.1308421	15.55781919
Cluster_0008	113.1324448	16.78435775
Cluster_0009	113.1323437	8.541794263
Cluster_0010	114.0911468	6.393245829
Cluster_0011	115.0363121	5.676955777
Cluster_0012	115.0404668	1.182272944
Cluster_0013	115.110186	1.771218657
Cluster_0014	116.0526134	4.776357171
Cluster_0015	117.0696246	6.741568177
Cluster_0016	118.0860644	14.54922342
Cluster_0017	119.0852996	1.708479815
Cluster_0018	121.0817793	1.254299782
Cluster_0019	121.1009619	6.749810025
Cluster_0020	123.1164782	6.74793268
Cluster_0021	125.0955973	6.848563643
Cluster_0022	128.0525551	1.804110338
Cluster_0023	128.0526702	2.084454113
Cluster_0024	130.1594401	1.250070301
Cluster_0025	135.1143907	6.746427393
Cluster_0026	136.0622703	1.206065593
Cluster_0027	139.0520946	1.188455649
Cluster_0028	147.0471361	1.166891881
Cluster_0029	149.0238009	2.582728775
Cluster_0030	149.0237048	8.541014605
Cluster_0031	149.059881	2.004961261
Cluster_0032	149.098649	1.459117451
Cluster_0033	149.0284209	1.60138957
Cluster_0034	151.1117197	1.462155799
Cluster_0035	155.0821214	1.201627825
Cluster_0036	158.1549131	1.702344371
Cluster_0037	159.0667764	1.337502638
Cluster_0038	161.0974762	2.297740853
Cluster_0039	163.134311	1.429296698
Cluster_0040	167.9952544	1.470513111
Cluster_0041	170.1536132	9.959656667
Cluster_0042	171.1027984	1.309302364
Cluster_0043	172.1164598	4.778564322
Cluster_0044	172.1168574	5.821564096
Cluster_0045	173.0819873	13.8633418
Cluster_0046	173.0815954	15.17886267
Cluster_0047	173.0816707	16.25639923
Cluster_0048	173.1333805	6.394149453
Cluster_0049	177.0553413	1.606285823
Cluster_0050	183.0957632	1.257574424
Cluster_0051	190.1265429	1.524767895
Cluster_0052	191.1433151	6.393790167
Cluster_0053	194.1180332	1.281273652
Cluster_0054	195.1018207	1.925877769
Cluster_0055	197.0817962	17.27061209
Cluster_0056	203.1073255	2.295991336
Cluster_0057	204.088122	4.779423817
Cluster_0058	205.0866133	2.583788651
Cluster_0059	205.1443226	1.565009133
Cluster_0060	211.1448879	1.313850025
Cluster_0061	219.0865624	1.326651187
Cluster_0062	221.1177474	2.005616166
Cluster_0063	221.1176693	2.17778553
Cluster_0064	221.1178219	2.306910326
Cluster_0065	221.1746151	6.392538523
Cluster_0066	221.1745263	6.847856367
Cluster_0067	222.1701544	1.556285687
Cluster_0068	226.1802574	6.3947636
Cluster_0069	226.1801527	6.847593472
Cluster_0070	228.196113	6.85002847
Cluster_0071	228.2323923	3.812245894
Cluster_0072	235.1693918	2.280316184
Cluster_0073	236.1131524	1.334001464
Cluster_0074	237.1485936	2.830201931
Cluster_0075	238.143962	2.291823705
Cluster_0076	241.0688364	1.328637118
Cluster_0077	244.1911069	6.396555093
Cluster_0078	244.1908637	6.850679305
Cluster_0079	244.2273077	2.388912329
Cluster_0080	249.1849311	2.322671857
Cluster_0081	250.1777513	1.522927951
Cluster_0082	250.177844	6.395849967
Cluster_0083	255.2320281	5.429567533
Cluster_0084	256.2272832	2.3134762
Cluster_0085	256.263721	5.68398873
Cluster_0086	257.2476788	12.00489578
Cluster_0087	258.2430059	2.732178926
Cluster_0088	262.1072832	1.51888025
Cluster_0089	266.2092026	2.385194553
Cluster_0090	267.1590244	1.99960878
Cluster_0091	267.2107248	6.745418616
Cluster_0092	270.2434597	2.655720401
Cluster_0093	272.2587769	3.536913759
Cluster_0094	277.1804306	2.006355308
Cluster_0095	277.1799159	2.177887527
Cluster_0096	277.1801578	2.307271954
Cluster_0097	279.1594717	2.575486595
Cluster_0098	279.3042256	5.553392508
Cluster_0099	280.2245762	2.733882695
Cluster_0100	282.2794894	6.005986639
Cluster_0101	283.2633728	7.490110498
Cluster_0102	284.2589926	3.305825796
Cluster_0103	284.2952702	7.612042135
Cluster_0104	284.2951881	7.840119173
Cluster_0105	285.2214917	6.74626858
Cluster_0106	292.22592	2.659079506
Cluster_0107	294.2068408	2.003992566
Cluster_0108	294.2066988	2.188171104
