id	rt	m/z	int
Cluster_0012	9.31751498	424.7625772	100
Cluster_0013	9.991852843	425.7703167	100
Cluster_0014	10.30321541	425.7702551	100
Cluster_0015	10.96322721	426.7779614	100
Cluster_0018	12.75033497	786.1213824	100
Cluster_0021	1.099948579	104.1074938	100
Cluster_0022	1.108106949	118.0868603	100
Cluster_0024	1.11457314	140.0685584	100
Cluster_0027	1.119591018	162.1103869	100
Cluster_0028	1.132239032	176.0685122	100
Cluster_0031	1.296783054	188.1039806	100
Cluster_0033	1.129039621	198.0878929	100
Cluster_0035	1.1169019	204.1205314	100
Cluster_0037	1.448573045	205.1433865	100
Cluster_0038	1.317239036	211.1318902	100
Cluster_0039	1.969793674	221.1186716	100
Cluster_0040	1.268814583	229.1381765	100
Cluster_0041	1.132042875	232.1541749	100
Cluster_0042	1.176835139	241.1430934	100
Cluster_0043	2.136912783	244.2268294	100
Cluster_0047	16.20892987	245.1176083	100
Cluster_0052	1.16204438	246.1699478	100
Cluster_0053	1.345667486	253.1568931	100
Cluster_0054	1.38829685	255.1692651	100
Cluster_0055	2.080771547	256.2268818	100
Cluster_0056	1.199259954	258.1108417	100
Cluster_0057	2.448856271	258.2425117	100
Cluster_0058	2.134283989	266.2086946	100
Cluster_0059	1.397930677	267.1413811	100
Cluster_0060	1.235282797	269.1433575	100
Cluster_0061	2.364031996	270.2436202	100
Cluster_0062	3.09811289	272.2582988	100
Cluster_0063	1.24023001	274.1684994	100
Cluster_0064	1.955175649	277.1797985	100
Cluster_0069	1.839547944	280.2568945	100
Cluster_0070	1.281802459	281.1244547	100
Cluster_0071	2.389436946	281.2460727	100
Cluster_0075	14.60395797	283.2624447	100
Cluster_0076	2.897895533	284.2587863	100
Cluster_0077	1.264945809	285.1402785	100
Cluster_0078	14.02620775	285.2244795	100
Cluster_0079	3.609960007	286.2734332	100
Cluster_0080	1.260870946	288.193832	100
Cluster_0081	1.652911635	288.2889583	100
Cluster_0082	2.228905325	288.2889876	100
Cluster_0083	1.410460176	290.1936059	100
Cluster_0084	2.369050112	292.2242553	100
Cluster_0085	1.293674333	293.1500663	100
Cluster_0086	1.993749453	294.2065031	100
Cluster_0087	3.095686191	294.2398769	100
Cluster_0088	1.729646023	295.2237085	100
Cluster_0089	2.639654643	296.2581001	100
Cluster_0090	1.294494741	297.1527332	100
Cluster_0091	1.8395432	297.2407799	100
Cluster_0092	9.520334071	297.2779816	100
Cluster_0093	5.657262343	298.2735401	100
Cluster_0094	3.379667848	298.2739579	100
Cluster_0096	11.32699828	299.2937664	100
Cluster_0100	1.241783171	302.1808099	100
Cluster_0101	4.228762487	303.2312512	100
Cluster_0102	5.665560064	303.2294021	100
Cluster_0104	2.897175768	306.2400346	100
Cluster_0105	1.279351525	309.1436977	100
Cluster_0106	1.929277606	309.2114144	100
Cluster_0107	2.22463828	310.2689294	100
Cluster_0108	7.08088772	310.3099516	100
Cluster_0109	14.8384866	311.2572504	100
Cluster_0110	3.455927415	311.2940548	100
Cluster_0111	4.262944902	312.2890568	100
Cluster_0112	14.03166628	313.272899	100
Cluster_0113	1.276347019	313.1634406	100
Cluster_0114	1.579909195	313.233355	100
Cluster_0115	1.260370029	316.1956199	100
Cluster_0116	6.143295192	317.2467522	100
Cluster_0117	1.309766098	318.1855181	100
Cluster_0118	9.520198874	319.2600049	100
Cluster_0119	3.376706793	320.2552639	100
Cluster_0120	4.235675683	320.2587132	100
Cluster_0121	2.416616509	321.2474607	100
Cluster_0122	9.004054147	321.3145799	100
Cluster_0123	4.992702009	322.273702	100
Cluster_0124	5.339660832	322.2733385	100
Cluster_0125	1.260800199	323.1437871	100
Cluster_0126	2.150795969	323.2244801	100
Cluster_0127	6.207828377	324.2890089	100
Cluster_0128	3.729643743	324.2901487	100
Cluster_0130	15.50995523	325.2728929	100
Cluster_0131	5.661592541	325.2108617	100
Cluster_0132	1.331854537	325.1692578	100
Cluster_0133	4.24723193	325.213984	100
Cluster_0134	5.003892743	327.2289856	100
Cluster_0135	5.352508925	327.2292369	100
Cluster_0137	6.227347312	329.2446663	100
Cluster_0138	1.30375041	329.1721019	100
Cluster_0141	1.283613903	332.2022567	100
Cluster_0142	1.281197297	334.1855463	100
Cluster_0143	6.143435332	334.2730709	100
Cluster_0144	10.62332711	335.3663251	100
Cluster_0146	13.15519883	337.2727166	100
Cluster_0147	13.96545609	337.2726401	100
Cluster_0148	15.01433923	337.2726764	100
Cluster_0149	2.379501504	337.2722333	100
Cluster_0150	15.90657789	337.3818734	100
Cluster_0151	9.009332754	338.3426792	100
Cluster_0152	14.05206502	339.288648	100
Cluster_0153	14.81553267	339.2883445	100
Cluster_0155	15.75591307	339.2887018	100
Cluster_0156	2.573385432	339.2884627	100
Cluster_0157	6.139461319	339.2284224	100
Cluster_0158	1.31575807	341.17633	100
Cluster_0159	3.622840392	341.3040601	100
Cluster_0160	4.233130421	341.1812365	100
Cluster_0161	15.0881028	341.3037659	100
Cluster_0162	1.364506468	346.2191324	100
Cluster_0163	2.828593128	346.2730171	100
Cluster_0164	4.245183841	347.1949843	100
Cluster_0166	16.59785214	351.3974109	100
Cluster_0167	5.245419331	353.3372008	100
Cluster_0168	1.263675496	355.1095401	100
Cluster_0169	2.00875915	355.2791054	100
Cluster_0170	4.198234885	355.2863054	100
Cluster_0171	1.576208998	356.277725	100
Cluster_0172	5.41799594	357.2988156	100
Cluster_0173	5.665673914	357.2989584	100
Cluster_0175	1.311468939	358.2428144	100
Cluster_0176	14.04894	359.2566751	100
Cluster_0177	11.99227155	359.2569815	100
Cluster_0178	1.239052406	360.1593615	100
Cluster_0179	9.009247437	360.323787	100
Cluster_0180	9.926599997	361.3817822	100
Cluster_0181	1.402586327	362.212874	100
Cluster_0182	1.077294013	365.0992289	100
Cluster_0184	16.92471558	365.4130764	100
Cluster_0185	10.77729679	366.3719289	100
Cluster_0186	8.799774175	367.317166	100
Cluster_0187	19.14384867	367.3346934	100
Cluster_0189	11.42184425	367.3354734	100
Cluster_0190	1.404206132	369.1964791	100
Cluster_0191	19.56823003	369.3501128	100
Cluster_0192	20.3634263	369.3498481	100
Cluster_0193	5.216251229	370.3666896	100
Cluster_0199	13.86654795	371.2394643	100
Cluster_0209	7.055473752	371.2572826	100
Cluster_0212	2.076737625	372.3096267	100
Cluster_0213	1.335151393	374.227794	100
Cluster_0214	9.016672962	376.2964967	100
Cluster_0215	1.294849594	376.2252092	100
Cluster_0216	2.048578824	377.2649223	100
Cluster_0217	3.14503245	377.2679217	100
Cluster_0218	4.230690315	377.265732	100
Cluster_0219	1.508124877	378.2121317	100
Cluster_0220	3.592746796	379.3079338	100
Cluster_0221	5.418366097	379.2807598	100
Cluster_0222	5.670867743	379.280985	100
Cluster_0223	9.927906633	379.3926963	100
Cluster_0224	1.083283891	381.0781796	100
Cluster_0225	3.944307365	381.3351902	100
Cluster_0226	15.44875706	381.4079151	100
Cluster_0227	5.428126981	383.3501051	100
Cluster_0228	9.173782305	383.3871676	100
Cluster_0229	1.993837124	384.3094288	100
Cluster_0230	1.363232495	385.2063026	100
Cluster_0231	11.42231542	385.3459907	100
Cluster_0232	2.376709634	386.3250879	100
Cluster_0234	1.428935143	387.1820403	100
Cluster_0235	7.853395345	391.2828568	100
Cluster_0236	1.273539405	392.2261592	100
Cluster_0237	7.295325663	395.3870533	100
Cluster_0238	10.62400455	395.3871185	100
Cluster_0239	1.283946891	397.1875548	100
Cluster_0240	3.010503268	397.3297538	100
Cluster_0241	9.929187002	397.403679	100
Cluster_0242	2.229896925	398.3252514	100
Cluster_0243	15.44905618	398.4343812	100
Cluster_0244	1.509910204	399.1762079	100
Cluster_0245	3.158905238	399.2498155	100
Cluster_0246	9.924175306	399.3926381	100
Cluster_0247	3.692528629	401.2650482	100
Cluster_0248	3.997401498	401.264991	100
Cluster_0249	1.411488406	402.253531	100
Cluster_0250	4.746357927	403.280551	100
Cluster_0251	1.424797705	404.2094531	100
Cluster_0253	14.59915053	407.386935	100
Cluster_0254	11.4264212	407.3365113	100
Cluster_0255	1.441263889	409.1861467	100
Cluster_0256	2.087485672	410.3250682	100
Cluster_0258	2.754209441	412.3408779	100
Cluster_0259	7.278105495	412.4136437	100
Cluster_0260	7.855407968	413.2648105	100
Cluster_0261	10.62656414	413.3989143	100
Cluster_0262	1.284320296	413.1812468	100
Cluster_0263	3.46961448	414.3563351	100
Cluster_0264	15.99445822	414.4292677	100
Cluster_0265	3.160435078	415.2229299	100
Cluster_0266	1.358611514	416.2545262	100
Cluster_0267	7.265357228	417.3687948	100
Cluster_0268	9.429089105	419.3139894	100
Cluster_0269	9.927648438	419.384922	100
Cluster_0270	3.010617609	419.3116594	100
Cluster_0271	10.0631059	421.3986873	100
Cluster_0272	5.239394627	421.3657696	100
Cluster_0273	5.751111793	423.3816634	100
Cluster_0274	1.81251307	423.2966275	100
Cluster_0275	14.59854341	424.4132203	100
Cluster_0276	2.447851881	424.3408012	100
Cluster_0277	1.428515705	425.1280824	100
Cluster_0278	1.414007709	425.1588238	100
Cluster_0279	7.464879503	425.39739	100
Cluster_0280	11.49816589	425.4339433	100
Cluster_0281	1.770389797	426.261352	100
Cluster_0282	3.154509259	426.3566095	100
Cluster_0283	16.53618793	426.4653586	100
Cluster_0284	4.410005904	428.3718849	100
Cluster_0285	14.60299203	429.3687161	100
Cluster_0288	1.424839293	431.2169036	100
Cluster_0289	1.352627362	434.2527753	100
Cluster_0290	9.928824729	435.3583016	100
Cluster_0291	10.63033218	435.3796115	100
Cluster_0292	1.76485211	435.2967518	100
Cluster_0293	9.291590815	437.4341363	100
Cluster_0294	1.712099036	438.2599403	100
Cluster_0295	1.278946151	439.2175655	100
Cluster_0296	3.780532469	439.3860758	100
Cluster_0297	4.568360256	439.3766572	100
Cluster_0299	4.029945149	440.3719303	100
Cluster_0300	5.742380721	440.4081716	100
Cluster_0301	9.466437748	441.2960506	100
Cluster_0302	11.9543254	441.4284353	100
Cluster_0303	12.13658446	441.4287244	100
Cluster_0304	16.92987865	442.4603096	100
Cluster_0306	1.344119935	446.261791	100
Cluster_0307	1.954667389	446.3253536	100
Cluster_0308	16.92287334	447.415569	100
Cluster_0309	1.35049507	448.2513159	100
Cluster_0310	2.044005666	449.3139357	100
Cluster_0311	1.552629558	450.2607244	100
Cluster_0312	2.727327232	450.3559256	100
Cluster_0313	10.62863154	451.3530113	100
Cluster_0314	1.821765348	452.2752278	100
Cluster_0315	3.448390816	452.3718088	100
Cluster_0316	1.270492705	453.2209481	100
Cluster_0317	9.279839656	454.4602351	100
Cluster_0319	3.077142047	457.3979246	100
Cluster_0320	1.379968048	460.2796442	100
Cluster_0321	1.343403212	462.2698563	100
Cluster_0322	2.287468189	463.3280887	100
Cluster_0323	12.13954123	463.4102634	100
Cluster_0324	7.093565458	463.4127274	100
Cluster_0325	4.163761004	464.3117285	100
Cluster_0326	7.702907825	465.4285875	100
Cluster_0327	5.736281494	466.3276408	100
Cluster_0328	1.874373359	466.2907683	100
Cluster_0329	2.894022177	466.2909245	100
Cluster_0330	4.276993039	466.3272242	100
Cluster_0331	1.283121934	467.2480391	100
Cluster_0332	9.418855498	467.4440438	100
Cluster_0333	2.332859429	468.3075813	100
Cluster_0335	5.953606875	468.3428268	100
Cluster_0336	1.273922193	469.2211222	100
Cluster_0337	1.424808762	475.2786537	100
Cluster_0338	2.146759935	476.2749279	100
Cluster_0339	2.598444051	478.2910543	100
Cluster_0340	1.223104517	479.1261143	100
Cluster_0341	11.08271724	479.4804752	100
Cluster_0342	2.185767697	480.306664	100
Cluster_0343	3.324234497	480.3073018	100
Cluster_0344	3.588751549	480.30729	100
Cluster_0345	5.446020521	480.3432043	100
Cluster_0346	1.310576484	481.2598761	100
Cluster_0347	2.664377433	482.3237186	100
Cluster_0348	7.698870821	482.4549209	100
Cluster_0349	13.16528337	483.4751914	100
Cluster_0350	13.67639734	483.4387503	100
Cluster_0351	1.239534995	484.2723448	100
Cluster_0352	1.407143584	488.2986485	100
Cluster_0353	1.372608805	490.2903729	100
Cluster_0354	2.325174345	490.2885498	100
Cluster_0355	1.370713037	492.2737777	100
Cluster_0356	1.990627576	492.3047073	100
Cluster_0357	2.472533969	494.3238442	100
Cluster_0358	3.09431844	496.3398085	100
Cluster_0359	3.406114983	496.3396586	100
Cluster_0360	11.04661873	496.5069461	100
Cluster_0361	1.284156912	497.2597352	100
Cluster_0362	14.21468281	497.4549595	100
Cluster_0363	2.047174723	500.2757692	100
Cluster_0364	11.04346066	501.4620238	100
Cluster_0365	2.375919545	502.291177	100
Cluster_0367	3.599805352	502.2889677	100
Cluster_0368	2.643698224	504.303992	100
Cluster_0369	2.895810686	504.3056581	100
Cluster_0370	2.296789905	506.3217818	100
Cluster_0371	9.543461132	507.4749629	100
Cluster_0372	1.227106717	508.3026998	100
Cluster_0373	3.107667054	508.3396561	100
Cluster_0374	11.16402055	509.4907376	100
Cluster_0375	3.576856773	510.3571529	100
Cluster_0376	3.967791021	510.3548703	100
Cluster_0377	1.343966234	516.29941	100
Cluster_0378	1.874414989	516.306752	100
Cluster_0379	2.46661011	516.3040079	100
Cluster_0381	2.223690526	518.3231523	100
Cluster_0382	2.715927248	520.3395917	100
Cluster_0383	12.60721721	521.526814	100
Cluster_0384	13.71835659	521.4541619	100
Cluster_0387	3.25864187	522.3559343	100
Cluster_0388	3.56359366	522.3565177	100
Cluster_0389	5.032705634	524.3709118	100
Cluster_0390	9.546763184	524.5014829	100
Cluster_0391	15.30290637	525.4855465	100
Cluster_0393	3.11341418	530.3192534	100
Cluster_0394	14.36418005	530.4755098	100
Cluster_0396	3.942850834	532.3352437	100
Cluster_0397	14.47263889	535.467768	100
Cluster_0398	14.65302482	535.4675354	100
Cluster_0401	4.233315747	536.3690366	100
Cluster_0402	4.601156391	536.3697531	100
Cluster_0403	12.60863558	538.5534767	100
Cluster_0404	2.212622748	540.3036202	100
Cluster_0406	8.154307886	540.4333106	100
Cluster_0408	2.092180982	542.3250312	100
Cluster_0410	15.30281573	542.5119585	100
Cluster_0411	3.553719881	544.3384851	100
Cluster_0412	1.730477093	544.2645913	100
Cluster_0413	2.423946355	544.3391507	100
Cluster_0414	14.75095899	544.4910693	100
Cluster_0415	3.035460079	546.3556617	100
Cluster_0417	13.85975771	547.4695694	100
Cluster_0418	3.569667674	548.3710102	100
Cluster_0419	3.919123352	548.3698083	100
Cluster_0421	14.82037258	549.4851919	100
Cluster_0422	19.91219151	549.4851555	100
Cluster_0423	5.181741249	550.384925	100
Cluster_0428	13.71309577	556.4912385	100
Cluster_0429	4.592501003	558.3507329	100
Cluster_0430	15.45726555	558.506906	100
Cluster_0431	3.553816937	560.3087187	100
Cluster_0432	13.72738659	561.4463747	100
Cluster_0433	14.56690712	561.4853202	100
Cluster_0434	19.74954452	561.4850622	100
Cluster_0435	15.14312252	563.5007659	100
Cluster_0436	15.48679218	563.485837	100
Cluster_0438	2.088494821	564.3041758	100
Cluster_0439	13.8595624	565.4797505	100
Cluster_0440	2.442778862	566.3194333	100
Cluster_0441	11.20952117	566.548135	100
Cluster_0442	14.80737205	567.4954904	100
Cluster_0443	3.04600141	568.335027	100
Cluster_0444	13.48994229	568.4907058	100
Cluster_0445	14.12034943	570.5065532	100
Cluster_0446	14.47742975	570.5066326	100
Cluster_0448	15.80485466	572.5232689	100
Cluster_0449	13.49998091	573.4462162	100
Cluster_0450	14.86843251	575.5009706	100
Cluster_0451	15.25857037	575.5008339	100
Cluster_0453	19.84807014	575.5006132	100
Cluster_0454	20.07362358	575.5005373	100
Cluster_0455	14.12848099	575.4620283	100
Cluster_0456	14.47633438	575.4617993	100
Cluster_0457	15.80214536	577.5014635	100
Cluster_0459	12.89808204	580.4908107	100
Cluster_0460	13.10591743	580.4907981	100
Cluster_0461	15.13587348	581.5110302	100
Cluster_0462	13.87965606	582.5071378	100
Cluster_0463	14.23841811	582.5060248	100
Cluster_0464	14.80819524	584.5226975	100
Cluster_0465	13.0627326	585.4459614	100
Cluster_0466	11.48103141	586.5380382	100
Cluster_0468	13.87367788	587.4622338	100
Cluster_0469	14.74845538	587.5019734	100
Cluster_0471	2.890627186	589.4892066	100
Cluster_0472	14.80767521	589.4778804	100
Cluster_0473	15.51131868	589.5164931	100
Cluster_0474	20.20729772	589.5160595	100
Cluster_0475	11.47759765	591.4936191	100
Cluster_0478	14.85668937	593.5110084	100
Cluster_0479	13.49402427	594.5062909	100
Cluster_0480	13.68122917	594.5064012	100
Cluster_0481	15.78478693	595.5266372	100
Cluster_0482	14.31678444	596.5226962	100
Cluster_0483	14.55508063	596.5228288	100
Cluster_0484	15.1400074	598.5386165	100
Cluster_0485	15.50409477	598.5383892	100
Cluster_0486	13.50329172	599.4618514	100
Cluster_0487	13.68906834	599.4616687	100
Cluster_0489	16.73408684	600.5532544	100
Cluster_0490	14.33141676	601.4775056	100
Cluster_0491	14.5697695	601.4777482	100
Cluster_0492	15.02074317	601.516549	100
Cluster_0494	13.87421498	603.4355535	100
Cluster_0495	15.15309432	603.4935923	100
Cluster_0496	15.49927562	603.4932906	100
Cluster_0497	15.76751813	603.5319195	100
Cluster_0498	12.83584299	604.4912811	100
Cluster_0500	14.78272828	605.4723071	100
Cluster_0501	13.16240803	606.506753	100
Cluster_0502	13.35980104	606.5066754	100
Cluster_0503	13.66277429	606.5067601	100
Cluster_0505	15.50482499	607.5266609	100
Cluster_0506	16.58061913	607.5631042	100
Cluster_0507	16.80344108	607.5635141	100
Cluster_0508	12.64086961	608.5910837	100
Cluster_0509	14.06009784	608.5230538	100
Cluster_0512	12.83246055	609.4467121	100
Cluster_0513	17.42466197	609.5775528	100
Cluster_0515	14.13430613	610.1812715	100
Cluster_0516	14.87899267	610.5390272	100
Cluster_0517	15.24655083	610.5390191	100
Cluster_0518	13.30916711	611.4618036	100
Cluster_0520	15.78445744	612.5540791	100
Cluster_0522	12.97728831	613.5201866	100
Cluster_0523	14.04884067	613.4775152	100
Cluster_0524	1.732675247	614.3276063	100
Cluster_0525	12.78846902	614.5680269	100
Cluster_0526	14.8873725	615.4937282	100
Cluster_0527	15.25181236	615.4934858	100
Cluster_0528	12.56648172	616.490672	100
Cluster_0529	14.56663929	617.4533179	100
Cluster_0530	15.79760366	617.5092503	100
Cluster_0531	13.2782135	618.5075613	100
Cluster_0532	15.07097212	619.5046155	100
Cluster_0533	13.78119156	620.521984	100
Cluster_0534	14.0212143	620.5219482	100
Cluster_0535	15.75914543	621.542458	100
Cluster_0536	17.1894909	621.5786016	100
Cluster_0537	14.71663147	622.538861	100
Cluster_0538	15.11110521	622.6457806	100
Cluster_0539	13.27489624	623.4624759	100
Cluster_0540	14.04897418	623.5006252	100
Cluster_0542	15.47423194	624.554543	100
Cluster_0543	15.90431622	624.590231	100
Cluster_0544	16.58459893	624.5915902	100
Cluster_0545	16.80595972	624.5902893	100
Cluster_0546	12.82786927	625.4196668	100
Cluster_0547	13.78605114	625.4772635	100
Cluster_0548	14.00226836	625.4772685	100
Cluster_0549	16.0652737	626.5697904	100
Cluster_0551	14.70615105	627.4935263	100
Cluster_0553	11.97210416	628.4909009	100
Cluster_0554	13.99179018	629.4510926	100
Cluster_0555	15.46173169	629.5090655	100
Cluster_0556	15.98729271	629.5500335	100
Cluster_0557	16.57983707	629.5462028	100
Cluster_0558	16.80814898	629.5458815	100
Cluster_0560	12.93571267	630.5081338	100
Cluster_0561	13.15663249	630.5553057	100
Cluster_0562	16.33817771	630.5763887	100
Cluster_0563	14.88640335	631.4668253	100
Cluster_0564	15.27187236	631.4784469	100
Cluster_0565	16.06824305	631.5253334	100
Cluster_0566	17.42189456	631.5604452	100
Cluster_0567	13.46508899	632.5235703	100
Cluster_0568	13.73740518	632.5269485	100
Cluster_0569	14.03288929	632.5239875	100
Cluster_0570	15.80462302	633.4829076	100
Cluster_0571	14.30737192	634.538681	100
Cluster_0572	14.77595082	634.5437954	100
Cluster_0573	12.95052604	635.4648841	100
Cluster_0574	15.03303427	636.5554142	100
Cluster_0575	4.417326133	637.3028149	100
Cluster_0576	13.47570846	637.477962	100
Cluster_0577	13.76769807	637.4803751	100
Cluster_0578	14.02516295	637.4782732	100
Cluster_0580	15.77361319	638.5712845	100
Cluster_0581	16.1742362	638.5754646	100
Cluster_0583	13.24443178	639.4510731	100
Cluster_0584	14.22699316	639.4935227	100
Cluster_0585	14.45713852	639.4934405	100
Cluster_0586	16.63700691	640.5847243	100
Cluster_0587	14.07318519	641.5321332	100
Cluster_0588	15.03555666	641.5097751	100
Cluster_0589	16.50438908	642.5634715	100
Cluster_0591	15.79221415	643.5253022	100
Cluster_0592	16.16486429	643.5225187	100
Cluster_0594	14.71194052	643.4668632	100
Cluster_0595	13.49409987	644.5199647	100
Cluster_0596	13.74106859	644.5230873	100
Cluster_0597	15.31975214	645.4885374	100
Cluster_0598	15.51799575	645.4823593	100
Cluster_0599	16.68497809	645.5322357	100
Cluster_0600	14.40469377	646.5388477	100
Cluster_0601	15.94362291	646.5733392	100
Cluster_0602	16.94226257	647.4563374	100
Cluster_0603	14.96832261	648.5538202	100
Cluster_0605	13.48848353	649.4772364	100
Cluster_0606	13.74972811	649.4778188	100
Cluster_0607	15.64038981	650.5691396	100
Cluster_0608	16.69703329	650.6035364	100
Cluster_0609	12.94464825	651.435531	100
Cluster_0610	16.00536096	651.5297321	100
Cluster_0611	14.41485158	651.4936369	100
Cluster_0612	11.49109102	652.4907141	100
Cluster_0613	15.53473548	652.559528	100
Cluster_0614	16.15204387	652.5798879	100
Cluster_0615	16.385483	652.5852825	100
Cluster_0616	16.74028297	652.6168602	100
Cluster_0617	13.48232563	653.4511791	100
Cluster_0619	14.01942741	653.4515948	100
Cluster_0620	14.96841309	653.5084599	100
Cluster_0621	4.418268537	654.3303555	100
Cluster_0622	12.351976	654.5066008	100
Cluster_0623	16.28094328	654.5671256	100
Cluster_0624	15.6334742	655.5245146	100
Cluster_0625	13.16240159	656.5241162	100
Cluster_0626	16.95353507	656.5767422	100
Cluster_0627	11.47740026	657.4458974	100
Cluster_0628	15.03691462	657.4825462	100
Cluster_0629	16.34662818	657.5400821	100
Cluster_0630	13.68557359	658.5393575	100
Cluster_0631	14.05253174	658.5424123	100
Cluster_0633	12.33539211	659.4617902	100
Cluster_0634	15.80471126	659.4967939	100
Cluster_0635	16.26167414	660.5472582	100
Cluster_0636	14.51057235	660.5554591	100
Cluster_0637	14.78893585	660.5555934	100
Cluster_0638	15.08937012	660.555678	100
Cluster_0639	11.99164375	661.483236	100
Cluster_0640	13.16622809	661.4785568	100
Cluster_0641	1.594205159	662.3269143	100
Cluster_0642	15.19249258	662.5685968	100
Cluster_0643	15.49752127	662.5769574	100
Cluster_0644	15.75180242	662.5755011	100
Cluster_0645	13.69101208	663.4934471	100
Cluster_0646	14.04740203	663.4909996	100
Cluster_0647	14.3073184	663.4542633	100
Cluster_0648	15.87293133	664.5853824	100
Cluster_0649	16.13855421	664.6027791	100
Cluster_0651	13.75028454	665.4510653	100
Cluster_0652	14.50799843	665.5058704	100
Cluster_0653	14.78284499	665.5119519	100
Cluster_0654	15.0938064	665.5123024	100
Cluster_0655	16.63975361	666.6004806	100
Cluster_0657	15.20563857	667.5240543	100
Cluster_0658	15.4970756	667.5296138	100
Cluster_0659	14.41847554	668.4702107	100
Cluster_0660	16.64773947	668.579738	100
Cluster_0661	15.08399917	669.5407524	100
Cluster_0662	15.87730717	669.5400108	100
Cluster_0663	16.14227044	669.5393239	100
Cluster_0664	17.19475652	670.5941119	100
Cluster_0665	13.74345338	671.5335882	100
Cluster_0666	15.64527163	671.498191	100
Cluster_0667	16.63886552	671.5547116	100
Cluster_0668	14.35339155	672.5738549	100
Cluster_0669	14.80390874	672.5543558	100
Cluster_0670	16.38693711	673.5146173	100
Cluster_0671	16.63747772	673.5345835	100
Cluster_0672	15.23272471	674.5701388	100
Cluster_0673	15.46843221	674.569766	100
Cluster_0674	12.33043691	675.4356243	100
Cluster_0675	9.000844666	675.6748429	100
Cluster_0676	13.16721352	677.4516813	100
Cluster_0677	14.35785346	677.5275127	100
Cluster_0678	14.57867107	677.5086461	100
Cluster_0679	14.80473448	677.5088152	100
Cluster_0680	18.78678175	677.6413571	100
Cluster_0681	10.94828905	678.5037691	100
Cluster_0682	11.99547023	678.5102078	100
Cluster_0683	16.49159791	678.6000503	100
Cluster_0684	18.42871998	678.6727434	100
Cluster_0685	15.41444195	679.5058412	100
Cluster_0686	12.58959814	680.523929	100
Cluster_0687	12.86117761	680.5243958	100
Cluster_0688	14.30177515	680.4799972	100
Cluster_0689	16.3682999	680.5801644	100
Cluster_0690	16.71571734	680.5792337	100
Cluster_0692	18.64260095	680.6519683	100
Cluster_0693	4.42595691	681.3399382	100
Cluster_0695	15.09656354	681.4850916	100
Cluster_0696	15.89844299	681.5395335	100
Cluster_0697	13.14083448	682.5441584	100
Cluster_0698	13.42908695	682.5395963	100
Cluster_0699	13.66770466	682.5447217	100
Cluster_0700	17.01767482	682.5955343	100
Cluster_0701	12.0069304	683.4633634	100
Cluster_0702	13.15682684	683.5336301	100
Cluster_0703	15.20584489	683.4964941	100
Cluster_0704	16.49292151	683.5460262	100
Cluster_0705	14.99174322	684.1997968	100
Cluster_0706	14.20713175	684.5542899	100
Cluster_0707	17.72000211	684.6109274	100
Cluster_0708	12.59731362	685.4783462	100
Cluster_0709	12.86397388	685.4787557	100
Cluster_0710	15.87522897	685.5110533	100
Cluster_0711	16.33156509	685.5320392	100
Cluster_0712	16.93784213	685.4131688	100
Cluster_0713	14.99096983	686.1986221	100
Cluster_0714	19.14615381	686.5842239	100
Cluster_0715	14.678432	686.5709444	100
Cluster_0716	13.12909354	687.5007289	100
Cluster_0717	13.43554784	687.4944496	100
Cluster_0718	13.67664482	687.4981484	100
Cluster_0719	17.00090299	687.5497794	100
Cluster_0720	15.06860151	687.5720075	100
Cluster_0721	11.65922912	688.4877882	100
Cluster_0722	19.57899789	688.5994654	100
Cluster_0723	11.45952419	689.5560112	100
Cluster_0724	13.92938303	689.5087233	100
Cluster_0725	14.20218824	689.5091195	100
Cluster_0726	15.25741828	689.5804309	100
Cluster_0727	12.73473243	690.5034526	100
Cluster_0728	20.0227434	690.6147106	100
Cluster_0729	14.67466676	691.5248823	100
Cluster_0730	14.98309093	691.5312394	100
Cluster_0731	11.47641073	692.5194195	100
Cluster_0732	15.98264507	692.5819663	100
Cluster_0733	16.23648534	692.579621	100
Cluster_0734	18.26348039	692.6521135	100
Cluster_0735	14.77292061	693.4905227	100
Cluster_0736	15.37917583	693.5396503	100
Cluster_0737	16.6713683	694.5953814	100
Cluster_0738	16.95830845	694.5951507	100
Cluster_0739	18.78829374	694.6683051	100
Cluster_0740	15.43570619	695.4989782	100
Cluster_0741	17.3609405	696.6115424	100
Cluster_0742	9.006205776	697.6553555	100
Cluster_0744	12.00950878	699.4358116	100
Cluster_0745	14.8049677	699.5637288	100
Cluster_0747	16.65823396	699.5485326	100
Cluster_0748	16.95618603	699.5613697	100
Cluster_0749	15.31021047	700.6055866	100
Cluster_0750	12.59875137	701.4514118	100
Cluster_0751	12.86366841	701.4516865	100
