Name	Mass	m/z	RT min	RT	Cel_1dil40_1-B,3_01_21146	Cel_1dil40_1-B,3_01_21151	Cel_1dil40_1-B,3_01_21156	Cel_1dil40_1-B,3_01_21161	Cel_1dil40_1-B,3_01_21166
Cluster_00006	256.1007636	86.37419754	1.94607265	327.7700337	8948.429688	9031.116211	8972.138672	9808.166016	10691.46582
Cluster_00037	162.0807944	82.04767372	2.716030638	403.2133178	3393.136719	2797.265137	2776.907715	2905.594727	3033.602295
Cluster_00042	171.1100735	86.56231327	1.945657642	327.7248237	9424.117188	9927.798828	9509.355469	10457.52344	10072.25684
Cluster_00101	238.0437902	120.0291716	9.515568431	582.4348177	1714.001709	1648.371948	1601.210693	1618.136108	1515.737915
Cluster_00116	262.1265513	132.0705521	1.958963216	329.1743009	6492.110352	6951.225586	6057.826172	7012.517578	7159.436523
Cluster_00117	263.1301813	132.5723672	1.955332346	328.7787626	2574.508789	2719.519043	2638.149658	3332.026367	3659.234619
Cluster_00146	315.1586935	158.5866232	3.151560852	416.3027451	2865.613525	2512.486084	2529.00708	2333.019287	2689.592773
Cluster_00153	330.2271222	166.1208376	2.196685055	355.0711455	3548.667969	3579.685547	3399.883545	3425.519775	3521.86792
Cluster_00170	356.2418564	179.1282047	2.30179985	366.5220982	2943.546143	2950.5354	2854.6875	3525.073486	3355.177979
Cluster_00171	358.2322097	180.1233813	2.381058113	375.1563025	2345.201416	2147.067627	2307.01123	2407.561523	2283.233398
Cluster_00173	358.2574668	180.1360099	5.879038153	498.2743622	1535.088379	1598.314697	1741.644409	1687.302979	1889.573364
Cluster_00174	358.2576919	180.1361225	6.668647711	516.8639818	5975.480469	5963.772461	4694.530762	5525.624512	5293.716797
Cluster_00190	372.2479434	187.1312482	2.971715885	410.8976835	1652.348022	1285.717651	1393.14624	1925.576416	1582.784912
Cluster_00191	372.2732258	187.1438894	2.333488596	369.9741939	2682.567871	2583.62915	2376.729492	2621.11377	2515.998047
Cluster_00200	384.2481638	193.1313584	2.477265126	385.6368628	2984.135498	2936.54834	2440.763428	3293.837891	2838.164795
Cluster_00203	386.2637131	194.139133	6.994190693	524.3619516	5500.115723	4711.535645	4603.259277	5399.818848	4907.118652
Cluster_00207	390.225902	196.1202275	4.329386443	451.7011216	1148.79895	1242.922485	1321.276245	1272.885376	1395.327271
Cluster_00208	392.2166753	197.1156142	3.107370301	414.9746421	1480.322754	1530.210693	1458.918335	1739.736572	1384.815918
Cluster_00213	400.1627799	201.0886664	8.153815988	551.0706686	5017.640625	5262.90918	4470.840332	4532.671387	4559.931641
Cluster_00217	406.2573189	204.135936	9.188282138	574.8966956	3771.007324	3747.429199	2968.243652	3629.67627	3176.332275
Cluster_00226	413.2633114	207.6389322	2.5768164	396.4817388	1102.92041	1093.017334	1286.821167	1214.525879	1297.410522
Cluster_00229	416.1976827	209.1061179	2.723914226	403.4502512	1650.135742	1763.191528	1722.579956	1860.608765	1608.324829
Cluster_00244	434.2636902	218.1391216	9.305014291	577.5852935	4119.80957	3596.30835	3224.126709	3718.388184	3453.188965
Cluster_00251	445.289757	223.652155	3.613533697	430.1868794	3762.901367	3603.192383	3231.253906	3775.665771	3503.946777
Cluster_00277	484.1241136	243.0693333	3.154297933	416.3850054	2818.604248	2589.906738	2669.562988	2939.924805	3226.350586
Cluster_00290	496.1103366	249.0624448	4.31702244	451.3295338	3388.560547	3407.563965	3351.112061	3923.02124	3771.265381
Cluster_00291	496.1243565	249.0694548	3.067395436	413.7732373	3688.261963	3262.354004	3559.92627	4452.249023	4094.550537
Cluster_00308	514.3588591	258.186706	2.19703594	355.1093701	1997.923218	1992.481079	1925.39978	2375.880859	2108.046631
Cluster_00329	529.3218054	265.6681792	7.794310812	542.7904749	1462.514526	1331.938599	1313.500977	1437.677979	1269.799683
Cluster_00349	547.2357086	274.6251308	25.03933552	1324.146459	1514.485718	1569.024048	1780.555664	2110.050537	1683.475586
Cluster_00367	562.2542351	282.1343941	26.82025088	1423.894581	1036.77356	1093.233521	1105.251099	1292.263794	1089.443115
