id	smiles	inchi	inchikey	formula	name	exactmass	rt
RTIDB_0001	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O			C10H12N2O3	KYNURENINE	208.0847923	402.5
RTIDB_0002	CC[C@H](C)[C@H](N)C(O)=O			C6H13NO2	ISOLEUCINE	131.0946287	316
RTIDB_0003	NCCC(O)=O			C8H8O3	P-HYDROXYPHENYLACETATE	152.0468	546.5
RTIDB_0004	NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1			C19H23N7O6	TETRAHYDROFOLATE	445.1709815	277.5
RTIDB_0005	CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N			C11H15N5O3S	METHYLTHIOADENOSINE	297.0895605	489
RTIDB_0006	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O			C10H14N2O5	THYMIDINE	242.0902716	401
RTIDB_0007	NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CN2)C(=O)N1			C19H21N7O6	DIHYDROFOLATE	443.1553314	270
RTIDB_0008	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O			C11H12N2O2	TRYPTOPHAN	204.0898776	475
RTIDB_0009	N[C@@H](CC1=CC=CC=C1)C(O)=O			C9H11NO2	PHENYLALANINE	165.0789786	407
RTIDB_0010	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1			C10H13N5O5	GUANOSINE	283.0916685	304
RTIDB_0011	OCC(O)CO			C3H8O3	GLYCEROL	92.04734412	287.5
RTIDB_0012	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1			C19H19N7O6	FOLATE	441.1396814	546
RTIDB_0013	CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O			C13H14N2O3	N-ACETYLTRYPTOPHAN	246.1004423	657
RTIDB_0014	CN1C2=C(NC=N2)C(=O)N(C)C1=O			C7H8N4O2	THEOPHYLLINE	180.0647255	481.5
RTIDB_0015	N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O			C11H12N2O2	TRYPTOPHAN	204.0898776	474.5
RTIDB_0016	C[Se]CCC(N)C(O)=O			C5H11NO2Se	SELENOMETHIONINE	196.995501	305.5
RTIDB_0017	CN1C=NC2=C1C(=O)N(C)C(=O)N2			C7H8N4O2	PARAXANTHINE	180.0647255	477
RTIDB_0018	CN1C=NC2=C1C(=O)N(C)C(=O)N2C			C8H10N4O2	CAFFEINE	194.0803756	277
RTIDB_0019	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O			C9H12N2O5	DEOXYURIDINE	228.0746215	312
RTIDB_0020	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O			C10H12N2O3	KYNURENINE	208.0847923	403
RTIDB_0021	CC(=O)NCCCC(O)=O			C6H11NO3	4-ACETAMIDOBUTANOATE	145.0738932	340.5
RTIDB_0022	CC(O)(CC(O)=O)CC(O)=O			C6H10O5	3-HYDROXYMETHYLGLUTARATE	162.0528234	337
RTIDB_0023	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O			C10H12N4O6	XANTHOSINE	284.0756841	339.5
RTIDB_0024	CCCCCCCCCCCCCCCC(OC(C[N+](C)(C)C)CC([O-])=O)=O			C23H45NO4	PALMITOYLCARNITINE	399.3348589	748
RTIDB_0025	C[C@]1(O)CCOC(=O)C1			C6H10O3	MEVALOLACTONE	130.0629942	185.5
RTIDB_0026	C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O			C9H10N2O5	3-NITRO-L-TYROSINE	226.0589714	424
RTIDB_0027	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2			C27H33N9O15P2	FAD	785.1571354	273.5
RTIDB_0028	CSCCC(NC(C)=O)C(O)=O			C7H13NO3S	N-ACETYLMETHIONINE	191.0616145	507
RTIDB_0029	OS(=O)(=O)OC1=CNC2=CC=CC=C12			C8H7NO4S	INDOXYL SULFATE	213.0095789	267
RTIDB_0030	CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N			C16H29N3O6S	S-HEXYL-GLUTATHIONE	391.1777068	718.5
RTIDB_0031	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1			C17H20N4O6	RIBOFLAVIN	376.1382844	583
RTIDB_0032	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1			C16H25N5O16P2	GUANOSINE DIPHOSPHATE MANNOSE	605.0771537	158
RTIDB_0033	CC(C)(CO)C(O)C(=O)NCCC(O)=O			C9H17NO5	PANTOTHENATE	219.1106727	424
RTIDB_0034	CSCC[C@@H](NC=O)C(O)=O			C6H11NO3S	N-FORMYL-L-METHIONINE	177.0459644	465
RTIDB_0035	NC(CC1=CNC2=C1C=C(O)C=C2)C(O)=O			C11H12N2O3	5-HYDROXYTRYPTOPHAN	220.0847923	348.5
RTIDB_0036	CN1C=NC2=C1C(=O)NC(=O)N2C			C7H8N4O2	THEOBROMINE	180.0647255	211.5
RTIDB_0037	CC(O)(CC(O)=O)C(O)=O			C5H8O5	CITRAMALATE	148.0371734	321
RTIDB_0038	CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N\C(=C\C2=NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O			C33H34N4O6	BILIVERDIN	582.2478348	1074
RTIDB_0039	C(C(C(=O)O)O)(C(=O)C(=O)O)C(=O)O			C6H6O8	OXALOMALATE	206.0062672	189.5
RTIDB_0040	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]			C63H89CoN14O14P	CYANOCOBALAMIN	1354.5674	568
RTIDB_0041	CC(CC(O)=O)CC(O)=O			C6H10O4	METHYGLUTARATE	146.0579088	467.5
